Wellname		: 3-BRSA-			1132-RJS
Date		: 04/05/2			018 15:36:55
					
DEPTH	AF10	AF20	AF30	AF60	AF90
M	ohm,m	ohm,m	ohm,m	ohm,m	ohm,m
5280,6602	852,9	424,6	1191,7	816,1	694,5
5280,8125	1153,4	482,6	1319,4	854	714,2
5280,9648	1489,9	589,7	1518,9	1069,4	884,8
5281,1172	1864,8	776,3	1792,6	1457,4	1203,4
5281,2695	1936,9	993,5	1940,9	1872,8	1775,6
5281,4219	1950	1265,8	1950	1950	1933
5281,5742	1950	1516,8	1950	1866,6	1693,3
5281,7266	1950	1667,4	1950	1703,1	1531,2
5281,8794	1950	1692	1950	1711,1	1585,5
5282,0317	1950	1634,6	1950	1603,8	1511,5
5282,1841	1950	1560,3	1950	1788,4	1689,1
5282,3364	1950	1514,5	1950	1866,4	1818,3
5282,4888	1950	1517,8	1950	1875,9	1842,4
5282,6411	1950	1571,7	1950	1915,3	1887,6
5282,7935	1950	1660,2	1950	1950	1950
5282,9458	1950	1751,9	1950	1950	1950
5283,0986	1950	1802,3	1950	1950	1950
5283,251	1950	1769,8	1950	1950	1950
5283,4033	1950	1639,7	1950	1950	1950
5283,5557	1950	1441,3	1950	1950	1950
5283,708	1950	1231,3	1950	1941,6	1907,3
5283,8604	1950	1057,5	1950	1747,3	1523,2
5284,0127	1950	941,5	1950	1585,7	1386,4
5284,165	1950	886,7	1950	1427,6	1139,7
5284,3174	1950	889	1950	1368,7	983,8
5284,4702	1950	940,5	1950	1400,1	992,5
5284,6226	1923,8	1019,8	1950	1613,3	1167,2
5284,7749	1814,8	1074,5	1950	1896,4	1364,1
5284,9272	1621,9	1034,7	1950	1950	1915,4
5285,0796	1344,9	883,8	1846,8	1837,4	1784
5285,2319	1053,1	711,9	1256,8	1251,7	1167,4
5285,3843	785,1	550,1	724,4	729,5	670,2
5285,5366	484	329,1	454,2	459,5	451,1
5285,689	266,7	217,4	303,8	306,9	306,5
5285,8418	172,6	158,2	215,1	218,4	214
5285,9941	130,6	122,5	158,6	161,3	164,9
5286,1465	115,4	109,6	137	138,8	149,7
5286,2988	118,4	113,5	139,6	140,2	157,5
5286,4512	141,6	136,4	167,9	166,2	191,9
5286,6035	200,2	191,9	239,6	231,5	266,4
5286,7559	345,8	324,3	399,7	374	430,5
5286,9082	585,5	576,6	628,8	657,3	713,1
5287,061	880,6	785,3	1087,8	974,4	1133,2
5287,2134	1380,6	995,9	1934,5	1797,3	1885,5
5287,3657	1529,3	1036,2	1910	1882,4	1828,5
5287,5181	1528,4	956,8	1790,8	1693,3	1363,5
5287,6704	1440	809,2	1607,9	1353,7	963,9
5287,8228	1115,7	659,2	1451,8	1154,3	741
5287,9751	975,1	588,2	1249	957,3	612,6
5288,1274	829,2	521	1086,9	749	576,3
5288,2798	815,8	508,9	1068,1	718,8	615,8
5288,4326	966,1	566,6	1189,2	778,5	719,6
5288,585	1335,2	669,1	1390,9	893,6	889
5288,7373	1698,1	785,5	1542,4	1076,4	1083,8
5288,8896	1843,9	975,2	1784,1	1310,3	1353,3
5289,042	1928,4	1160,4	1935,7	1701,2	1756,1
5289,1943	1950	1365,6	1950	1947	1950
5289,3467	1950	1556,1	1950	1950	1950
5289,499	1950	1670,1	1950	1950	1950
5289,6514	1950	1657,8	1950	1950	1950
5289,8042	1950	1527,1	1950	1950	1950
5289,9565	1950	1339,4	1950	1950	1950
5290,1089	1950	1163,1	1950	1941,6	1950
5290,2612	1950	1038,3	1950	1881,5	1950
5290,4136	1950	978,7	1950	1787,4	1942,1
5290,5659	1950	984,8	1950	1686,6	1887,5
5290,7183	1950	1052,8	1950	1568,3	1818,5
5290,8706	1950	1169,1	1950	1496,7	1930,1
5291,0234	1950	1292,5	1950	1311,6	1932
5291,1758	1950	1361	1950	1411,8	1590,8
5291,3281	1950	1346,7	1950	1433,1	1548,6
5291,4805	1950	1290,8	1950	1550,7	1689,5
5291,6328	1950	1259,2	1950	1424	1570,7
5291,7852	1950	1295,8	1931	1295,9	1425,7
5291,9375	1950	1387,2	1846,4	1248	1457
5292,0898	1950	1615,9	1950	921,1	1183
5292,2422	1950	1888,4	1831,6	699,5	884,9
5292,395	1950	1655,6	1453,8	601	793,2
5292,5474	1950	1291,8	1279,7	567,6	743,8
5292,6997	1950	1044,9	1101	557,8	659
5292,8521	1950	765,6	988,4	639,6	626,9
5293,0044	1950	567,9	1205,5	774,8	738,7
5293,1567	1950	472,6	1414,4	951,8	990,7
5293,3091	1950	452,8	1546,2	1223,2	1187,6
5293,4614	1950	452,8	1707,5	1519	1426,8
5293,6138	1950	492,9	1843,6	1764,3	1661,8
5293,7666	1950	586,8	1932,1	1917,7	1866,7
5293,9189	1950	750,8	1950	1950	1950
5294,0713	1950	997,3	1950	1950	1950
5294,2236	1950	1308,4	1950	1950	1950
5294,376	1950	1613,2	1950	1950	1950
5294,5283	1950	1831,9	1950	1950	1950
5294,6807	1950	1939,1	1950	1950	1950
5294,833	1950	1950	1950	1950	1950
5294,9858	1950	1950	1950	1950	1950
5295,1382	1950	1950	1950	1950	1950
5295,2905	1950	1937,8	1950	1950	1950
5295,4429	1950	1860,4	1950	1950	1950
5295,5952	1950	1732,5	1950	1950	1950
5295,7476	1950	1567,5	1950	1950	1950
5295,8999	1950	1396,3	1950	1950	1950
5296,0522	1950	1253,8	1950	1950	1950
5296,2046	1950	1163,4	1950	1950	1950
5296,3574	1950	1135,2	1950	1950	1950
5296,5098	1950	1172,3	1950	1950	1950
5296,6621	1950	1270,4	1950	1950	1950
5296,8145	1950	1409,1	1950	1950	1950
5296,9668	1950	1534,7	1950	1950	1950
5297,1191	1950	1563,1	1950	1950	1950
5297,2715	1950	1442,6	1950	1950	1950
5297,4238	1950	1217,7	1950	1950	1950
5297,5762	1950	983	1950	1950	1950
5297,729	1950	799,1	1950	1950	1950
5297,8813	1950	680,3	1950	1950	1950
5298,0337	1950	621,1	1950	1950	1950
5298,186	1950	614,9	1950	1950	1950
5298,3384	1950	661,1	1950	1950	1950
5298,4907	1950	765,5	1950	1950	1950
5298,6431	1950	934,2	1950	1950	1950
5298,7954	1950	1154,6	1950	1950	1950
5298,9478	1950	1368	1950	1950	1950
5299,1006	1950	1484,7	1950	1950	1950
5299,2529	1950	1471,5	1950	1950	1950
5299,4053	1950	1386,9	1950	1950	1950
5299,5576	1950	1307,5	1950	1950	1950
5299,71	1950	1277	1950	1950	1950
5299,8623	1950	1310,1	1950	1950	1950
5300,0146	1950	1404,9	1950	1950	1950
5300,167	1950	1542,6	1950	1950	1950
5300,3198	1950	1685	1950	1950	1950
5300,4722	1950	1778,8	1950	1950	1950
5300,6245	1950	1776,2	1950	1950	1950
5300,7769	1950	1654,7	1950	1950	1950
5300,9292	1950	1431,6	1950	1950	1950
5301,0815	1950	1163,8	1950	1950	1950
5301,2339	1950	916,5	1950	1950	1950
5301,3862	1946,2	727,2	1950	1950	1950
5301,5386	1916,8	602,8	1950	1950	1950
5301,6914	1883,6	536,3	1950	1950	1950
5301,8438	1861,9	520,2	1950	1950	1950
5301,9961	1860,6	552,8	1950	1950	1950
5302,1484	1880,4	638,4	1950	1950	1950
5302,3008	1914	778,5	1950	1950	1950
5302,4531	1945,8	942,3	1950	1950	1950
5302,6055	1950	1040,9	1950	1950	1950
5302,7578	1950	1002,4	1950	1950	1904,1
5302,9102	1950	875,2	1950	1696,8	1706,9
5303,063	1950	749,3	1950	1364,2	1675,9
5303,2153	1950	668,3	1922,3	1222,7	1806,9
5303,3677	1950	638,8	1934,8	1200,5	1837,3
